id,name,description,price,quantity,category_id,supplier_id,created_by_id,created_at,updated_at
1,Laptop,Laptop Gaming,20000000.00,2,1,1,1,2024-01-04 08:00:00,2024-01-04 08:00:00
2,Smartphone,Smartphone Flagship,14000000.00,3,1,1,1,2024-01-04 09:00:00,2024-01-04 09:00:00
3,Baju kaos,Baju kaos Cotton,180000.00,20,2,2,1,2024-01-04 10:00:00,2024-01-04 10:00:00
4,Komik,Komik cerita,120000.00,275,4,4,2,2024-01-04 11:00:00,2024-01-04 13:00:00
5,Celana Jeans,Celana Denim jeans,120000.00,200,2,2,2,2024-01-04 12:00:00,2024-01-04 14:00:00
6,Nasi,Nasi Premium 5kg,75000.00,350,3,3,2,2024-01-04 13:00:00,2024-01-04 15:00:00
7,Novel,Novel fiksi,150000.00,250,4,4,2,2024-01-04 14:00:00,2024-01-04 16:00:00
8,Air Mineral,Air minum mineral,12000.00,350,5,5,2,2024-01-04 15:00:00,2024-01-04 17:00:00
9,Snacks,Makanan snacks ringan,12000.00,800,3,3,2,2024-01-04 16:00:00,2024-01-04 17:00:00
10,Sepatu,Sepatu sneakers,2000000.00,4,2,2,2,2024-01-04 15:00:00,2024-01-04 17:00:00
11,Sirup jeruk,Air sirup jeruk,55000.00,450,5,5,2,2024-01-04 15:00:00,2024-01-04 18:00:00
12,Susu coklat,Minuman susu coklat,25000.00,200,5,5,2,2024-01-04 16:00:00,2024-01-04 18:00:00
